City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sakakah,SA,60.8,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
1,Rikitea,PF,78.6,clear sky,-23.1203,-134.9692,Pension Maro'i
6,Airai,TL,71.06,broken clouds,-8.9266,125.4092,Juvinal Martin
7,Talcahuano,CL,59.0,clear sky,-36.7167,-73.1167,Hotel Terramar
8,Saint-Philippe,RE,73.4,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
9,Pisco,PE,66.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
10,Lagoa,PT,60.69,scattered clouds,39.05,-27.9833,Casa Das Faias
12,Hermanus,ZA,63.0,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
14,Cidreira,BR,71.37,overcast clouds,-30.1811,-50.2056,Hotel Castelo
15,Cittanova,IT,57.0,broken clouds,38.3552,16.0798,Casa di Meco
16,Kapaa,US,78.8,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
17,Butaritari,KI,82.13,light rain,3.0707,172.7902,Isles Sunset Lodge
18,Mizdah,LY,54.81,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
20,Castro,BR,53.73,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
21,Liku,ID,86.43,scattered clouds,-0.7275,119.8922,Kost Raisa & homestay
22,Busselton,AU,66.76,scattered clouds,-33.65,115.3333,Observatory Guest House
23,Fortuna,US,57.99,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
25,Lompoc,US,57.2,broken clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
26,Kruisfontein,ZA,57.99,clear sky,-34.0033,24.7314,Oyster Bay House Rental
27,Mataura,NZ,61.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
29,New Norfolk,AU,53.01,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
30,Vila Velha,BR,73.4,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
31,Kaeo,NZ,71.01,clear sky,-35.1,173.7833,Bushido Lodge
32,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
35,Quatre Cocos,MU,77.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
38,Sola,VU,89.6,scattered clouds,-13.8833,167.55,Leumerus Bungalows
40,Neiafu,TO,80.6,scattered clouds,-18.65,-173.9833,Mystic Sands
41,Iquitos,PE,77.0,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
42,Chuy,UY,62.22,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
44,Labuhan,ID,82.47,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
45,Kudahuvadhoo,MV,82.69,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
48,Banda Aceh,ID,82.78,broken clouds,5.5577,95.3222,Sulthan Hotel International
50,Road Town,VG,78.8,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
52,Puerto Princesa,PH,80.6,light rain,9.7392,118.7353,Deep Forest Garden Inn
53,Rantepao,ID,79.54,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
