City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
0,Sakakah,29.9697,40.2064,60.8,20,0,11.5,clear sky,SA
1,Rikitea,-23.1203,-134.9692,78.6,70,9,5.68,clear sky,PF
2,Rreshen,41.7675,19.8756,39.2,87,20,6.91,few clouds,AL
3,Lasa,46.6166,10.7002,36.0,74,75,6.91,light snow,IT
4,Tasiilaq,65.6145,-37.6368,32.0,93,90,24.16,light snow,GL
5,Fairbanks,64.8378,-147.7164,48.2,46,90,4.61,haze,US
6,Airai,-8.9266,125.4092,71.06,43,64,3.0,broken clouds,TL
7,Talcahuano,-36.7167,-73.1167,59.0,77,0,6.91,clear sky,CL
8,Saint-Philippe,-21.3585,55.7679,73.4,83,40,5.75,light rain,RE
9,Pisco,-13.7,-76.2167,66.2,82,0,11.5,clear sky,PE
10,Lagoa,39.05,-27.9833,60.69,87,43,10.56,scattered clouds,PT
11,Rafai,4.95,23.9167,70.21,80,90,1.92,light rain,CF
12,Hermanus,-34.4187,19.2345,63.0,90,77,1.99,broken clouds,ZA
13,Santander,43.4647,-3.8044,48.99,87,0,9.89,clear sky,ES
14,Cidreira,-30.1811,-50.2056,71.37,70,95,19.55,overcast clouds,BR
15,Cittanova,38.3552,16.0798,57.0,59,75,5.41,broken clouds,IT
16,Kapaa,22.0752,-159.319,78.8,57,40,17.27,scattered clouds,US
17,Butaritari,3.0707,172.7902,82.13,75,54,7.02,light rain,KI
18,Mizdah,31.4451,12.9801,54.81,50,100,8.52,overcast clouds,LY
19,Talnakh,69.4865,88.3972,9.86,93,100,9.17,light snow,RU
20,Castro,-24.7911,-50.0119,53.73,97,100,5.77,overcast clouds,BR
21,Liku,-0.7275,119.8922,86.43,58,38,4.21,scattered clouds,ID
22,Busselton,-33.65,115.3333,66.76,51,29,4.94,scattered clouds,AU
23,Fortuna,40.5982,-124.1573,57.99,62,1,12.66,clear sky,US
24,Jamestown,42.097,-79.2353,46.99,46,75,9.22,broken clouds,US
25,Lompoc,34.6391,-120.4579,57.2,58,67,11.5,broken clouds,US
26,Kruisfontein,-34.0033,24.7314,57.99,97,2,1.99,clear sky,ZA
27,Mataura,-46.1927,168.8643,61.0,77,38,7.0,scattered clouds,NZ
28,Ushuaia,-54.8,-68.3,41.0,60,40,6.91,light snow,AR
29,New Norfolk,-42.7826,147.0587,53.01,75,11,3.0,few clouds,AU
30,Vila Velha,-20.3297,-40.2925,73.4,78,0,10.36,clear sky,BR
31,Kaeo,-35.1,173.7833,71.01,61,5,10.0,clear sky,NZ
32,Vaini,-21.2,-175.2,80.6,74,20,8.05,few clouds,TO
33,Egvekinot,66.3167,-179.1667,14.65,77,13,1.68,few clouds,RU
34,Barrow,71.2906,-156.7887,15.8,73,1,11.5,clear sky,US
35,Quatre Cocos,-20.2078,57.7625,77.0,94,75,6.91,light rain,MU
36,Marquette,46.5333,-87.6335,34.0,92,100,4.0,snow,US
37,Qaanaaq,77.484,-69.3632,-11.52,62,0,7.67,clear sky,GL
38,Sola,-13.8833,167.55,89.6,70,40,12.17,scattered clouds,VU
39,Albany,42.6001,-73.9662,62.6,47,75,5.75,broken clouds,US
40,Neiafu,-18.65,-173.9833,80.6,69,40,5.75,scattered clouds,TO
41,Iquitos,-3.7481,-73.2472,77.0,94,40,0.45,scattered clouds,PE
42,Chuy,-33.6971,-53.4616,62.22,84,76,8.55,broken clouds,UY
43,Taranto,40.6167,17.25,46.99,57,78,8.48,broken clouds,IT
44,Labuhan,-6.8844,112.2051,82.47,74,66,7.67,broken clouds,ID
45,Kudahuvadhoo,2.6708,72.8944,82.69,64,93,8.7,overcast clouds,MV
46,Juneau,58.3019,-134.4197,42.8,87,90,3.44,light rain,US
47,Tazovskiy,67.4667,78.7,31.87,99,100,10.13,snow,RU
48,Banda Aceh,5.5577,95.3222,82.78,74,58,5.84,broken clouds,ID
49,Severo-Kurilsk,50.6789,156.125,38.84,93,100,23.49,light rain,RU
50,Road Town,18.4167,-64.6167,78.8,78,40,9.22,scattered clouds,VG
51,Zhigansk,66.7697,123.3711,22.15,90,100,9.04,light snow,RU
52,Puerto Princesa,9.7392,118.7353,80.6,78,75,4.61,light rain,PH
53,Rantepao,-2.9701,119.8978,79.54,67,90,2.06,overcast clouds,ID
54,Codrington,-38.2667,141.9667,59.58,75,100,18.43,light rain,AU
55,Lewisporte,49.2499,-55.0482,30.2,86,90,13.8,light snow,CA
56,West Fargo,46.875,-96.9004,30.2,93,90,17.27,overcast clouds,US
57,Ust-Maya,60.4167,134.5333,25.54,69,97,4.45,overcast clouds,RU
58,Nabire,-3.3667,135.4833,86.83,61,87,4.0,overcast clouds,ID
59,Bud,39.447,-86.1758,52.0,46,1,5.75,clear sky,US
60,Toba Tek Singh,30.9743,72.4827,78.82,36,100,9.64,overcast clouds,PK
61,Fare,-16.7,-151.0167,82.13,73,100,9.98,overcast clouds,PF
62,Port-Gentil,-0.7193,8.7815,81.18,78,100,3.02,overcast clouds,GA
63,Nanortalik,60.1432,-45.2371,32.45,90,50,12.93,scattered clouds,GL
64,Provideniya,64.3833,-173.3,21.2,73,20,4.47,few clouds,RU
65,Puerto Escondido,15.85,-97.0667,80.6,78,75,6.55,broken clouds,MX
66,Ternate,0.8,127.4,82.56,76,47,11.74,scattered clouds,ID
67,Gigmoto,13.7796,124.39,82.02,78,100,8.03,overcast clouds,PH
