City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Areosa,PT,2021-04-14 03:54:04,41.7178,-8.8571,59.0,94,20,4.14
1,Balkhash,KZ,2021-04-14 03:54:04,46.844,74.9804,48.2,37,0,33.55
2,Rikitea,PF,2021-04-14 03:54:05,-23.1203,-134.9692,77.76,66,6,8.21
3,Bluff,NZ,2021-04-14 03:54:05,-46.6,168.3333,53.01,90,100,1.99
4,Makakilo City,US,2021-04-14 03:54:05,21.3469,-158.0858,80.6,44,1,10.36
5,Bredasdorp,ZA,2021-04-14 03:47:12,-34.5322,20.0403,59.0,94,0,2.3
6,Dikson,RU,2021-04-14 03:54:06,73.5069,80.5464,1.76,89,73,14.97
7,Thompson,CA,2021-04-14 03:54:06,55.7435,-97.8558,21.2,53,20,10.36
8,Saint George,US,2021-04-14 03:54:07,37.1041,-113.5841,73.4,14,1,12.66
9,Busselton,AU,2021-04-14 03:52:14,-33.65,115.3333,68.0,65,73,3.0
10,Hilo,US,2021-04-14 03:49:32,19.7297,-155.09,75.2,64,75,11.5
11,Albany,US,2021-04-14 03:52:18,42.6001,-73.9662,55.99,83,99,2.57
12,Bethel,US,2021-04-14 03:54:07,41.3712,-73.414,50.0,62,75,3.44
13,High Level,CA,2021-04-14 03:54:08,58.5169,-117.136,39.2,56,40,3.44
14,Buchanan,LR,2021-04-14 03:54:08,5.8808,-10.0467,79.0,83,100,2.89
15,Saldanha,ZA,2021-04-14 03:54:08,-33.0117,17.9442,60.8,72,2,3.44
16,Atuona,PF,2021-04-14 03:54:09,-9.8,-139.0333,81.01,75,100,17.47
17,Turukhansk,RU,2021-04-14 03:54:09,65.8167,87.9833,26.22,89,100,12.08
18,Sorland,NO,2021-04-14 03:54:09,67.667,12.6934,36.81,56,97,23.06
19,Gondanglegi,ID,2021-04-14 03:54:10,-7.7479,112.0132,86.41,65,9,2.39
20,New Norfolk,AU,2021-04-14 03:54:10,-42.7826,147.0587,64.0,73,69,8.01
21,Tasiilaq,GL,2021-04-14 03:54:11,65.6145,-37.6368,28.4,74,39,9.22
22,Hithadhoo,MV,2021-04-14 03:54:11,-0.6,73.0833,82.72,64,83,5.28
23,Vaini,TO,2021-04-14 03:47:11,-21.2,-175.2,78.8,78,20,8.05
24,Sholapur,IN,2021-04-14 03:54:11,17.6833,75.9167,85.75,38,55,8.05
25,Manaure,CO,2021-04-14 03:54:12,11.7751,-72.4445,75.79,84,100,7.76
26,Bubaque,GW,2021-04-14 03:54:12,11.2833,-15.8333,77.13,81,31,14.61
27,Nome,US,2021-04-14 03:54:13,64.5011,-165.4064,33.8,86,75,10.36
28,Cortes,ES,2021-04-14 03:54:13,41.9395,-1.4396,57.0,81,99,4.61
29,Cape Town,ZA,2021-04-14 03:54:13,-33.9258,18.4232,63.0,100,75,9.22
30,Barrow,US,2021-04-14 03:54:14,71.2906,-156.7887,8.6,72,1,8.05
31,Upernavik,GL,2021-04-14 03:54:14,72.7868,-56.1549,1.89,96,100,10.38
32,Aden,YE,2021-04-14 03:54:14,12.7794,45.0367,80.56,75,12,11.01
33,Hermanus,ZA,2021-04-14 03:54:15,-34.4187,19.2345,64.83,74,0,6.29
34,Praya,CV,2021-04-14 03:54:15,14.9215,-23.5087,77.0,38,0,25.32
